paper_id,label
9657784,4
39886162,5
116214155,28
121432379,8
231147053,27
1196386999,34
1444859417,6
1483430697,4
1486601621,3
1495847259,28
1500126713,24
1512190626,36
1524631297,28
1525384803,22
1528301850,16
1537465387,33
1539916885,34
1542788159,26
1544145018,24
1546946208,19
1550373401,28
1551937652,14
1553895888,28
1555565700,28
1556595261,27
1561232457,33
1561890487,34
1566387761,28
1573599372,28
1578902217,3
1581827225,4
1585744708,16
1586330215,10
1591405962,8
1595098738,16
1596723206,22
1601434380,0
1606458877,24
1607460189,16
1615334113,26
1618900328,3
1623729836,8
1633846131,20
1634869392,2
1650363355,28
1657294604,22
1661863441,19
1665243225,28
1665669548,18
1667633038,28
1670829281,28
1681484497,38
1682705844,31
1698782162,4
1717093152,28
1720451657,26
1738519518,5
1740018295,28
1754384483,24
1769594948,20
1774345111,9
1777784767,9
1791983455,8
1798241237,5
1812070052,16
1814471488,28
1815334329,9
1816985167,34
1818292367,28
1818296812,5
1823940520,33
1824996543,28
1831933153,28
1838670769,39
1839164722,36
1844261290,16
1849650586,26
1852713323,13
1856665498,28
1859168105,2
1860769804,28
1867927193,36
1869518888,19
1871136127,3
1874862603,24
1890858171,4
1899741157,23
1903515055,11
1909770226,34
1912377242,29
1913310022,28
1913435380,26
1917184511,34
1921222141,33
1923785946,24
1924943363,28
1931766922,0
1952469305,5
1955298890,24
1955776637,28
1956364207,6
1962645729,10
1965341892,31
1970462373,33
1972193127,10
1972197965,28
1974252294,34
1974370252,28
1976930960,27
1977183758,8
1978451479,2
1978696990,28
1981029888,4
1983815018,28
1984398168,23
1985850551,22
1994203036,19
1994596572,26
2000628897,28
2001557365,26
2001699728,8
2001942931,8
2003612823,28
2005285092,16
2005612613,28
2008604527,4
2009318757,34
2010239981,16
2015969595,16
2023346713,10
2023669216,38
2026035956,28
2026334295,28
2029741572,8
2031384529,4
2033252913,14
2035417248,28
2037610944,36
2038872199,38
2039623973,27
2044357496,23
2045492734,38
2046629409,19
2046927882,19
2049223024,11
2052978498,31
2054156261,10
2056465590,26
2058503096,22
2061164145,2
2062637899,23
2065627966,28
2067340979,28
2067949855,2
2069293554,24
2074934005,28
2077286704,28
2079489844,2
2081483301,28
2083965535,23
2088010865,28
2088233081,22
2088442093,4
2094380852,8
2096400936,36
2096637116,28
2096639003,32
2096761913,34
2097759652,8
2099527426,28
2100725109,8
2104308413,28
2109463955,23
2111132618,8
2114297064,5
2115394571,28
2117327438,28
2118013417,34
2118203533,19
2121933323,24
2123936825,19
2125290027,9
2127724539,36
2128095813,32
2129139293,14
2130190443,8
2131830786,1
2132489970,8
2132690206,8
2136783219,28
2136787699,21
2136961259,30
2137586949,2
2137768004,1
2137817852,33
2138241565,7
2141581456,24
2146699143,26
2148698193,23
2149210625,8
2151152358,1
2152052626,39
2152297266,19
2152849372,28
2153982189,34
2155894515,31
2157527521,26
2160583936,26
2161621396,28
2162258888,2
2164383533,39
2165136719,20
2165228812,26
2165925342,3
2167761279,28
2168347639,4
2169137280,24
2172166764,26
2180882408,34
2184854395,6
2193438280,36
2196015344,16
2197635914,28
2204743480,31
2206436691,10
2217972116,22
2223375486,7
2223602738,16
2225420026,28
2227810799,28
2228910404,10
2231526355,39
2235247707,30
2240922584,30
2243067292,30
2247424319,10
2249293447,16
2254815396,2
2257646213,26
2257722703,28
2264830470,28
2268095327,37
2268261130,20
2268733610,22
2268938174,24
2270218991,5
2270384168,10
2273364576,32
2275960700,8
2278003675,34
2280286192,24
2281477989,11
2284844860,28
2287998125,24
2289178639,39
2289616950,33
2292071457,8
2292156587,2
2292233400,26
2292983454,2
2295360187,13
2295748565,28
2296412986,29
2309645005,19
2324768677,8
2333200408,8
2336798767,3
2336902217,27
2339293227,13
2339690594,20
2340411850,13
2340518101,28
2342601131,16
2344349469,27
2344391187,16
2345456657,9
2345495628,28
2346786930,16
2356394976,37
2396289155,28
2398498549,16
2402158869,8
2404467351,28
2404691361,2
2405163796,4
2407537099,16
2408074187,16
2408337087,8
2408511749,3
2408795146,16
2410872382,10
2410943269,28
2411326260,4
2412257014,8
2413522668,4
2416903034,16
2417853429,28
2418863753,16
2431266723,18
2435229718,24
2443333194,28
2460547098,28
2462262952,13
2462831000,24
2463545666,26
2463731291,30
2465128116,28
2466365654,8
2466463215,34
2470804058,31
2471451742,6
2476291847,26
2477904218,24
2482193752,28
2485579787,27
2494463181,34
2505385900,28
2509446789,28
2510207728,34
2511093380,4
2514222156,34
2514795163,16
2515043645,30
2516389973,8
2520305843,28
2521305694,16
2522790424,19
2523612053,4
2524377659,38
2524638710,31
2525951180,5
2527255948,30
2530700328,19
2531240553,24
2533229206,26
2538853998,23
2541244035,30
2542357048,30
2547373914,27
2559424230,16
2563605494,36
2564814930,26
2574004477,8
2575436837,4
2577189726,8
2578277702,28
2580068393,24
2581141195,24
2582507901,19
2582667927,8
2583019817,25
2583317429,28
2583379913,27
2585522788,0
2587700222,30
2587944871,26
2588356017,34
2591735613,19
2591857971,16
2592546902,24
2593178238,8
2593221019,19
2594414520,24
2594502924,28
2594757924,24
2601670820,19
2604507718,16
2604993425,19
2605020549,19
2605095164,16
2605333377,24
2605775151,26
2605904100,24
2606279635,5
2607126301,1
2608161825,26
2608199279,28
2608771265,33
2608992661,34
2610416447,16
2610850660,30
2610905707,24
2611510109,16
2612161657,30
2612364175,30
2613593596,26
2613614176,30
2613807087,28
2615344953,33
2617308160,10
2618429789,28
2618680849,26
2620911965,5
2621813772,26
2622049782,24
2622353612,4
2623604707,4
2625030192,19
2625226699,10
2675515042,28
2694027581,2
2725310424,30
2726162513,22
2726481478,38
2731764626,25
2732305114,28
2733117079,28
2733858448,2
2735642330,24
2736337741,30
2736532986,28
2737126875,4
2737803646,39
2738498529,4
2738663878,4
2739505911,16
2739512085,30
2740603799,16
2741859509,32
2741995211,16
2742909326,26
2743758565,24
2744766693,16
2744770518,20
2747096658,28
2749617271,24
2749784589,28
2749856959,34
2751688886,4
2752263152,16
2752395459,2
2752451318,2
2752998136,5
2754420477,28
2754539945,27
2755572239,2
2755624925,23
2755935915,16
2756442302,8
2757192835,20
2757570709,27
2758367626,22
2759504247,27
2760218562,30
2760946557,19
2761264891,2
2761749680,20
2761873684,10
2762013948,6
2762206424,16
2762747762,29
2763049606,24
2763272531,22
2763389080,24
2765165237,6
2765219640,34
2765291116,26
2765422128,5
2765479240,3
2765545856,30
2766284073,31
2766294930,24
2766371994,24
2766450720,24
2766829334,34
2767058493,16
2767356838,21
2767453033,24
2767767871,28
2768439981,15
2769903030,25
2770302340,16
2771208044,16
2771841667,28
2772125660,8
2772217839,16
2772489743,16
2774837955,30
2775473773,25
2775819752,8
2775899375,4
2776069867,38
2776147641,24
2776313002,4
2777012514,24
2779680023,31
2782054271,30
2782733358,26
2782758897,20
2783105744,19
2783112387,28
2783348085,16
2783848564,8
2784524972,19
2784997849,4
2785247517,23
2785321380,24
2785433750,24
2785507676,16
2785533664,24
2785540181,31
2785578097,28
2786335707,16
2786564904,4
2786634640,26
2786802517,16
2787045403,24
2787402405,4
2787579267,24
2787642177,16
2787928077,24
2788157421,4
2788362500,16
2788420036,4
2788425869,16
2788985312,28
2789000096,2
2789446524,27
2789810536,31
2789903762,24
2790439946,16
2790502797,28
2791334856,31
2792155043,36
2792174932,3
2792249373,5
2792827505,16
2793001461,28
2793968975,16
2794187674,27
2794426516,30
2794643322,24
2794674590,23
2794823433,16
2794852379,28
2794945088,30
2795246565,4
2795417538,16
2795587979,34
2795754649,16
2795999188,16
2796057488,3
2796352678,28
2796440186,16
2796902985,24
2797197220,3
2797480241,16
2797569767,3
2798487859,2
2798683079,26
2798801347,34
2798811024,16
2798957492,16
2799130069,28
2799163527,19
2799236921,30
2799256272,31
2799364841,39
2799525592,16
2801059772,16
2802048525,26
2802575772,28
2802600798,28
2803073027,30
2803113791,24
2803155336,10
2803350198,30
2803974531,24
2803999577,16
2804069376,13
2804227495,24
2804410979,16
2804513722,37
2804581867,30
2805459882,10
2805566098,22
2806022935,16
2806253709,30
2806327167,16
2806387370,24
2806429264,30
2806515050,3
2807195518,3
2808195542,16
2808278571,27
2808404826,24
2808768547,26
2808815309,30
2809032952,16
2809353777,24
2809678767,19
2809716546,10
2810202096,2
2810387969,24
2810533955,22
2810845273,26
2810961304,20
2811027900,24
2811034418,9
2811456079,28
2820951506,24
2882892967,28
2883004598,19
2884288768,5
2884506312,16
2885850791,16
2886099836,24
2886216536,4
2886351808,13
2886616607,10
2886620977,37
2886748926,16
2886818025,28
2886881561,10
2887199985,7
2887256099,30
2887420797,16
2887806996,16
2888515142,31
2888639576,13
2889642831,27
2889678803,2
2889681790,30
2889762385,24
2890741595,19
2890762086,33
2891688681,16
2891754318,27
2892009954,13
2892085193,30
2892122909,30
2892212780,31
2893143132,4
2893179710,39
2893268956,24
2893278801,28
2893602300,2
2893872548,24
2894612187,27
2894788161,16
2895020057,16
2895045024,28
2895669808,36
2896257562,31
2896790514,30
2896992269,16
2897025488,24
2897071425,24
2897239789,24
2897490229,23
2897490830,27
